game_id,period,teamTricode,period_points,possessions,major_runs,run_points,pts_per_poss,game_control_index
S2324-G0001,1,CLE,26.0,26,0,116.0,0.9629629629629629,0.6937777777777777
S2324-G0001,1,IND,36.0,27,0,121.0,1.2857142857142858,0.8924285714285715
S2324-G0001,2,CLE,27.0,23,0,116.0,1.125,0.7909999999999999
S2324-G0001,2,IND,34.0,26,0,121.0,1.2592592592592593,0.8765555555555555
S2324-G0001,3,CLE,34.0,23,0,116.0,1.4166666666666667,0.966
S2324-G0001,3,IND,18.0,26,0,121.0,0.6666666666666666,0.5209999999999999
S2324-G0001,4,CLE,29.0,24,0,116.0,1.16,0.8119999999999999
S2324-G0001,4,IND,33.0,24,0,121.0,1.32,0.913
S2324-G0002,1,MIL,21.0,19,0,110.0,1.05,0.74
S2324-G0002,1,NYK,25.0,21,0,105.0,1.1363636363636365,0.7868181818181819
S2324-G0002,2,MIL,35.0,22,0,110.0,1.5217391304347827,1.0230434782608697
S2324-G0002,2,NYK,21.0,21,0,105.0,0.9545454545454546,0.6777272727272727
S2324-G0002,3,MIL,26.0,23,0,110.0,1.0833333333333333,0.7599999999999999
S2324-G0002,3,NYK,30.0,22,0,105.0,1.3043478260869565,0.8876086956521739
S2324-G0002,4,MIL,28.0,19,0,110.0,1.4,0.95
S2324-G0002,4,NYK,29.0,19,0,105.0,1.45,0.975
S2324-G0003,1,MIA,34.0,27,0,121.0,1.2142857142857142,0.8495714285714285
S2324-G0003,1,WAS,34.0,24,0,114.0,1.36,0.93
S2324-G0003,2,MIA,26.0,27,0,121.0,0.9285714285714286,0.6781428571428572
S2324-G0003,2,WAS,20.0,24,0,114.0,0.8,0.594
S2324-G0003,3,MIA,41.0,26,0,121.0,1.5185185185185186,1.032111111111111
S2324-G0003,3,WAS,27.0,26,0,114.0,1.0,0.714
S2324-G0003,4,MIA,20.0,27,0,121.0,0.7142857142857143,0.5495714285714286
S2324-G0003,4,WAS,33.0,29,0,114.0,1.1,0.774
S2324-G0004,1,BKN,35.0,26,0,109.0,1.2962962962962963,0.8867777777777778
S2324-G0004,1,CHI,30.0,21,0,107.0,1.3636363636363635,0.9251818181818181
S2324-G0004,2,BKN,24.0,23,0,109.0,1.0,0.709
S2324-G0004,2,CHI,28.0,24,0,107.0,1.12,0.779
S2324-G0004,3,BKN,19.0,20,0,109.0,0.9047619047619048,0.6518571428571428
S2324-G0004,3,CHI,22.0,17,0,107.0,1.2222222222222223,0.8403333333333334
S2324-G0004,4,BKN,31.0,24,0,109.0,1.24,0.853
S2324-G0004,4,CHI,27.0,23,0,107.0,1.125,0.7819999999999999
S2324-G0005,1,GSW,38.0,26,0,141.0,1.4074074074074074,0.9854444444444445
S2324-G0005,1,OKC,33.0,26,0,139.0,1.2222222222222223,0.8723333333333334
S2324-G0005,2,GSW,31.0,30,0,141.0,1.0,0.741
S2324-G0005,2,OKC,34.0,28,0,139.0,1.1724137931034482,0.8424482758620689
S2324-G0005,3,GSW,37.0,26,0,141.0,1.3703703703703705,0.9632222222222223
S2324-G0005,3,OKC,39.0,23,0,139.0,1.625,1.1139999999999999
S2324-G0005,4,GSW,35.0,26,0,141.0,1.2962962962962963,0.9187777777777778
S2324-G0005,4,OKC,33.0,20,0,139.0,1.5714285714285714,1.0818571428571429
S2324-G0006,1,DAL,24.0,29,0,114.0,0.8,0.594
S2324-G0006,1,DEN,40.0,30,0,125.0,1.2903225806451613,0.8991935483870968
S2324-G0006,2,DAL,31.0,25,0,114.0,1.1923076923076923,0.8293846153846154
S2324-G0006,2,DEN,30.0,31,0,125.0,0.9375,0.6875
S2324-G0006,3,DAL,32.0,21,0,114.0,1.4545454545454546,0.9867272727272727
S2324-G0006,3,DEN,32.0,22,0,125.0,1.391304347826087,0.9597826086956521
S2324-G0006,4,DAL,27.0,23,0,114.0,1.125,0.7889999999999999
S2324-G0006,4,DEN,23.0,24,0,125.0,0.92,0.677
S2324-G0007,1,MEM,26.0,24,0,113.0,1.04,0.737
S2324-G0007,1,POR,33.0,19,0,115.0,1.65,1.105
S2324-G0007,2,MEM,27.0,23,0,113.0,1.125,0.7879999999999999
S2324-G0007,2,POR,21.0,26,0,115.0,0.7777777777777778,0.5816666666666667
S2324-G0007,3,MEM,24.0,21,0,113.0,1.0909090909090908,0.7675454545454544
S2324-G0007,3,POR,22.0,20,0,115.0,1.0476190476190477,0.7435714285714285
S2324-G0007,4,MEM,25.0,24,0,113.0,1.0,0.713
S2324-G0007,4,POR,26.0,25,0,115.0,1.0,0.715
S2324-G0007,5,MEM,11.0,15,0,113.0,0.6875,0.5255
S2324-G0007,5,POR,13.0,12,0,115.0,1.0,0.715
S2324-G0008,1,DET,33.0,25,0,106.0,1.2692307692307692,0.8675384615384615
S2324-G0008,1,PHI,21.0,22,0,114.0,0.9130434782608695,0.6618260869565217
S2324-G0008,2,DET,23.0,18,0,106.0,1.2105263157894737,0.8323157894736841
S2324-G0008,2,PHI,27.0,20,0,114.0,1.2857142857142858,0.8854285714285715
S2324-G0008,3,DET,21.0,20,0,106.0,1.0,0.706
S2324-G0008,3,PHI,35.0,22,0,114.0,1.5217391304347827,1.0270434782608695
S2324-G0008,4,DET,29.0,25,0,106.0,1.1153846153846154,0.7752307692307692
S2324-G0008,4,PHI,31.0,24,0,114.0,1.24,0.858
S2324-G0009,1,CHA,22.0,25,0,124.0,0.8461538461538461,0.6316923076923077
S2324-G0009,1,WAS,27.0,26,0,117.0,1.0,0.717
S2324-G0009,2,CHA,35.0,27,0,124.0,1.25,0.874
