feature,mean_abs_shap
usage__avg_prev_possessions,0.7270039422371058
usage__points_scored,0.6922955125061443
defense__defensive_workload_score,0.28451026807633434
usage__usage_spike,0.2632216330921438
usage__usage_spike_norm,0.22675897923245197
lineup__sub_events,0.12326322310707179
defense__avg_possession_length,0.12108856804700151
lineup__lineup_segments,0.10252816226136247
usage__possessions_played,0.09853051470612118
usage__events,0.08054473043300192
lineup__lineup_instability_rate,0.07915141050102728
usage__shots_taken,0.05969619724091603
lineup__lineup_stability_score,0.007040945588933146
defense__defended_shots,0.0
defense__defensive_possessions,0.0
defense__defensive_events_per_poss,0.0
defense__defensive_events,0.0
usage__high_usage_spike_flag,0.0
lineup__possessions_played,0.0
_period_points_proxy,0.0
